movieId;title;casts;director;writers;maturity;keywords;popularity;tagline;poster;backdrop;language;description;genres;companies;releaseDate;runtime;trailer;titleImage;dateAdded;views
11;Superman Returns;Brandon Routh,Kevin Spacey,Kate Bosworth,James Marsden,Parker Posey;Bryan Singer;Michael Dougherty,Dan Harris,Bryan Singer;PG-13;saving the world,DC Comics,invulnerability,sequel,superhero;57.925623;He's back to save a world that has moved on without him.;https://image.tmdb.org/t/p/w300/385XwTQZDpRX2d3kxtnpiLrjBXw.jpg;https://image.tmdb.org/t/p/original/8eRscFbRYl681zDfkjv1jjW1KAA.jpg;en;Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest to felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.;ADVENTURE,FANTASY,ACTION,SCIENCE_FICTION;DC Comics,Legendary Pictures,Warner Bros.,Bad Hat Harry Productions;6-28-2006;2h 34m;https://imdb-video.media-imdb.com/vi641508889/1434659607842-pgv4ql-1616202811195.mp4?Expires=1704390502&Signature=aGaDKeSwqt0YKgrMiOoa1Nlpu1mRyaBjhedCbpNgf2WOwVGx5kA40RQtK7H~7sfbkFznQbvDG7OU04GNypl3CPQUbUFB3smOz0S5ubSW0wSD6TUp8U84qszVY9y3MOGeH8XRRNDT1R7ThVzW7zwV8Reqygv4DdsOQ9BuRrfFv1URlF7-OW~X6QILS31geXTCKtYh3SIMA7Kef3daYRyZ6HAWXHPbpFuExg78vsfrrmmJa64EyTu-3LnqewqLgSwMxeBB~EiSdBzcjSQ7aEoadFb25lZAwkvVve0Y2z0QWJW~9~xj-pEGrguOmZW8dn1JPo-45hj25J5SwqLPhRA8QA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA;https://image.tmdb.org/t/p/w500/nNNlOvXknQb4uPe8nOzdItykcGr.png;11-10-2023;234
12;Quantum of Solace;Daniel Craig,Olga Kurylenko,Mathieu Amalric,Judi Dench,Giancarlo Giannini;Marc Forster;Paul Haggis,Neal Purvis,Robert Wade;PG-13;killing,undercover,secret agent,British Secret Service;107.928811;For love, for hate, for justice, for revenge.;https://image.tmdb.org/t/p/w300/e3DXXLJHGqMx9yYpXsql1XNljmM.jpg;https://image.tmdb.org/t/p/original/3CqMIX3ZlrD0pU3fpBL6DM0Cneb.jpg;en;Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.;ADVENTURE,ACTION,THRILLER,CRIME;Eon Productions;10-30-2008;1h 46m;https://imdb-video.media-imdb.com/vi1024524313/1434659607842-pgv4ql-1616203008546.mp4?Expires=1704391130&Signature=nhpMq08h3PsGEWGkTyKqLu9ljapOZvUreTZOm3B2cUmP6FNZFHhpzTOWHY4fgodiy-O42qKyBwHlP806Pg90yDTpznkrDLm8LyDwLEEV2WgMpeLF7sOdP82AsMltU8oTsXFxxuQya63q9BxwNqppt6biMfmTxBmbwy4l96Bw3JO1K2dOLtMxDqrjg58IQmobi120TFZ~xl30qMqhtkvztwHIAe37LOZxRgFqGLDUART5380WvBPnUnSGdw1qveA7CCyP4JL6x2SKa1b6gQPaSsTmTNj-E8eETS3~S33gFtv1XxlPXa1IAVk7gdJwWV6Il4yF9J~ec3XWavaVO7NfwQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA;https://image.tmdb.org/t/p/w500/5er9KkD7I9riRmtrcuScVOCBb4v.png;10-26-2023;564
13;Pirates of the Caribbean: Dead Man's Chest;Johnny Depp,Orlando Bloom,Keira Knightley,Stellan Skarsgård,Bill Nighy;Gore Verbinski;Ted Elliott,Terry Rossio;PG-13;witch,fortune teller,bondage,exotic island,monster;145.847379;Jack is back!;https://image.tmdb.org/t/p/w300/lAhcKRt0ggTFkeFL95jrGQYaRXs.jpg;https://image.tmdb.org/t/p/original/vv5a8u6e40kyH0Hp6HuamAgzRai.jpg;en;Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.;ADVENTURE, FANTASY, ACTION;Walt Disney Pictures, Jerry Bruckheimer Films, Second Mate Productions;6-20-2006;2h 31m;https://imdb-video.media-imdb.com/vi3044017945/1434659607842-pgv4ql-1564129560117.mp4?Expires=1704390968&Signature=gNAZNRF~mDbeY5IsP8PYb6fOhH6G27~cMVd-YsmHYULdbE0z0IGgavvYJ1XKdhSHSOI7~nOz8j-BEFh2Ny2Wbc-KWe3c-Muh8n~DdKqWPvr4zdFrVcHgL2BAJbbcF24d6IIbnN7JGmub~xQ8H~o6SoTYxC7FCQ5crj66QMPeUJ6UassMQha1kjN6ygsEFXhOGbs9vE0PsQcjER8N0Rqw4bWiPd9pgPNkAJCXM8caTl662MwloEuBy~Laumo-UwkURd64uUC83mUX28O0E6tz0mMos6Ty8dGInOhx0TEsyIKAj60aQuForhlDdhg3oz9UhI8b9W6AuBitxs-5NvQUMg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA;https://image.tmdb.org/t/p/w500/jkhPivuba12qf8pCxNG7YCLjybo.png;12-13-2023;783
14;The Lone Ranger;Johnny Depp,Armie Hammer,William Fichtner,Helena Bonham Carter,James Badge Dale;Gore Verbinski;Justin Haythe,Ted Elliott,Terry Rossio;PG-13;Texas,horse,survivor,Texas Ranger,partner;49.046956;Never Take Off the Mask;https://image.tmdb.org/t/p/w300/xRmsqvHnaWmrazJl9bTBqs4LAjp.jpg;https://image.tmdb.org/t/p/original/qksfforuQFh0faMQKgXIa6lCEh0.jpg;en;The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.;ACTION,ADVENTURE,WESTERN;Walt Disney Pictures,Jerry Bruckheimer Films,Infinitum Nihil,Silver Bullet Productions (II),Blind Wink Productions,Classic Media;7-3-2013;2h 29m;https://imdb-video.media-imdb.com/vi460432921/1434659607842-pgv4ql-1616203033952.mp4?Expires=1704391321&Signature=sse8cPE8ohT2lRGmyEwZSvBHrud2eKbz4EW8Z949WPgECegSNmvWsPAHddZGI9j1h0YjYPZ7rQfyuSM8~7sveOKmd2H5irsAAg2sui1HIIerBs513qZ1a0sStIBbjLRqO~DgJXzOHOfIhOuz49mn8eUeihOYwECHsJllw-~QoU-qXwWeXlq-009beRv12GBSv8GfRUHo56ZmLep1wM2pDmcqg1zIxlozpr1YoSGRsxdAnP8ORXRrNLWj-cYmJWzzKj41JcqSXbDQBZhrJ00wm0-5uHmV7~cftILOZs8X68ZaA8ldM0BeAife-RE9hpTDH~JzbdOvhLqyY3WESeWtig__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA;https://image.tmdb.org/t/p/w500/oj5ETv24eOr50q53hL3pMOA4qBI.png;10-15-2023;273
15;Man of Steel;Henry Cavill,Amy Adams,Michael Shannon,Kevin Costner,Diane Lane;Zack Snyder;David S. Goyer;PG-13;saving the world,DC Comics,superhero,based on comic book,superhuman;99.398009;You will believe that a man can fly.;https://image.tmdb.org/t/p/w300/dksTL9NXc3GqPBRHYHcy1aIwjS.jpg;https://image.tmdb.org/t/p/original/69EFgWWPFWbRNHmQgYdSnyJ94Ge.jpg;en;A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.;ACTION,ADVENTURE,FANTASY,SCIENCE_FICTION;Legendary Pictures,Warner Bros.,DC Entertainment,Syncopy,Cruel and Unusual Films;6-12-2013;2h 23m;https://imdb-video.media-imdb.com/vi705668633/1434659607842-pgv4ql-1616202414935.mp4?Expires=1704391300&Signature=AnZYiTuQGv3WJWDMMPNna9vtQpKmsK~u9e50w6p74MEfziwJQI~4Mpztn-usVggdpbMEYy47eeJ7cXLCizBBt7zYj79dKT9l052t6AFaFbd5INzm6BFvMS2W1set4BdBX3oX~bsdnkpWDqu16WP0j04Rf6rbVRzkaKafQ~ehel7qIPRgAP0Vh-lYPxL-I9fgsnvEF-7MjfPAgSHTuCnHq8DZYjv-ZE6w13n0ydq2bNUJq7RZRrfbx4-Pdiqqkznsb28kjhDNkCD0ujZCz65OFJjRiTEr5g~wBbH2cUZQXxIhMzFrLDTdRQrifPeBf~Nz4pCDL7Wvj9o83X7aOMb38w__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA;https://image.tmdb.org/t/p/w500/qBtAryVKg11iEOmxeb31fxIHuvN.png;9-12-2023;403
16;The Chronicles of Narnia: Prince Caspian;Ben Barnes,William Moseley,Anna Popplewell,Skandar Keynes,Georgie Henley;Andrew Adamson;Andrew Adamson,Christopher Markus,Stephen McFeely;PG;based on novel,fictional place,brother-sister relationship,lion,human being;53.978602;Hope has a new face.;https://image.tmdb.org/t/p/w300/qxz3WIyjZiSKUhaTIEJ3c1GcC9z.jpg;https://image.tmdb.org/t/p/original/9pBv1BOSloAUgAkF0meJWdnbV4Q.jpg;en;One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.;ADVENTURE, FAMILY, FANTASY;Walt Disney, Walden Media, Stillking Films, Ozumi Films, Propeler, Silverbell Films, Revolution Sun Studios;5-15-2008;2h 30m;https://imdb-video.media-imdb.com/vi1793261849/1434659607842-pgv4ql-1616203023313.mp4?Expires=1704391062&Signature=edRc-Ac6rJ8UOjkPwHGJrODCNEAbNjXkHaCe4uEl0reVn2G7oEbLprxX97yqIbQCi~s42LGP9KejP24C3gDNVKiZa3N9dVwTXjacVO07hABHtPRF8QA3WGPlJrMamiOXL57t7lOMc1zrWy-sLojCySxWUbOzlmokzMmZUqCP0cO9WTbJbFgWP~Odn3o47BQWhwzYL1U96XpnF-XIGUX-BC8jW4iTsMenC93cT2incD~Y7ZSfZg~v9d8g9pfbKD~tQ6lAtz9eOBhdk1ix5AFrvCAlfSww0d8bStrcYap5IvoRtf~9K7Y7OgtGHD2pOuFG5K0sW9bptR5tbVIhq7jfPA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA;https://image.tmdb.org/t/p/w500/bXYYTYBZBTj9C9BwyoxG83Ir6S0.png;9-30-2023;576
17;The Avengers;Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth,Scarlett Johansson;Joss Whedon;Joss Whedon;PG-13;New York,SHIELD,Marvel Comic,superhero,based on comic book;144.448633;Some assembly required.;https://image.tmdb.org/t/p/w300/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg;https://image.tmdb.org/t/p/original/9BBTo63ANSmhC4e6r62OJFuK2GL.jpg;en;When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!;SCIENCE_FICTION,ACTION,ADVENTURE;Paramount Pictures,Marvel Studios;4-25-2012;2h 23m;https://imdb-video.media-imdb.com/vi3488652825/MV5BMTMzMzYwMDIwMl5BMTFeQW1wNF5BbWU3MDc2NTIxOTY@.mp4?Expires=1704391718&Signature=s~mWd-iMeUJHtSSxtLCtqU8Ib4e7NUk~i9ZZnDinp2jjL02SYjelPydjqsdNyzXDmlknPJtilDk6vqHTKU7tbqer9TP1N7pahZi~DKvieLGSFmcEVUTIkpzTbg79Lqb2pVG1ExC9FUae1O2kn5cP1C0m3~SKpU982bBQq7qNwV3~IyLv7vY9yJczBE0z05oqv0y15h0ng~tialthait~a-rREnh0ZfTnSylTtmMCxzYngIAoHnkRMuc4oZy4AWXX3Uc8drF3lThrZIFZKyp01ZFPxyBpsF6wLKYwST12dM4nFDtAvf-dDN8pyihrFflkyKw1NVD5vGtKP88xCedtmQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA;https://image.tmdb.org/t/p/w500/cBpQgSEoFlmuGTCIoVKhq1Jy2tM.png;12-30-2023;834
18;Pirates of the Caribbean: On Stranger Tides;Johnny Depp,Penelope Cruz,Ian McShane,Kevin McNally,Geoffrey Rush;Rob Marshall;Ted Elliott,Terry Rossio;PG-13;sea captain,mutiny,sword,prime minister;135.413856;Live Forever Or Die Trying.;https://image.tmdb.org/t/p/w300/keGfSvCmYj7CvdRx36OdVrAEibE.jpg;https://image.tmdb.org/t/p/original/wQ0r0JRs7elHSKg1SFtdWdKTYKi.jpg;en;Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.;ADVENTURE,ACTION,FANTASY;Walt Disney Pictures,Jerry Bruckheimer Films,Moving Picture Company (MPC);5-14-2011;1h 46m;https://imdb-video.media-imdb.com/vi2332858905/MV5BNjQ3ZWU5OTItNmM4MS00NjRjLThkYzMtMWUzZTFjYTQxZDBlXkExMV5BbXA0XkFpbWRiLWV0cy10cmFuc2NvZGU@.mp4?Expires=1704391935&Signature=h9JK-4Ne9bvn5TRdo2ZMfVU-G4nb2oVt8EGeIqkcObj9eDl348riypRSOzWUoQitD41dyfWlR-pz~i5Vqt3y1YOdukgUVi3~Un-2HAJVt9xCZp0EhOfkV~1zYbmOriw5p~ApY8oJfQed6XqgsEiezVF4lIk3Lbm1Nr8rAjfFANiJlJDDo0~KN~l0uxkwDwc~fdLob9yr94sGawbWXTYB-3Cyee4DC3HhxwvNVjP2LLP2OBzXIZaN7EYcCK68QVXScvRColgyM8muDozb6fmGpBxZuTEzUtV-QjkaZNjIN9fdtsvhWZ9vTF1EdKzpddaJhniiPVqdzQPXnrkou3E1eA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA;https://image.tmdb.org/t/p/w500/2cytTnfRgqzYHWbLrLAlvBD7mZd.png;10-18-2023;637
19;Men in Black 3;Will Smith,Tommy Lee Jones,Josh Brolin,Michael Stuhlbarg,Emma Thompson;Barry Sonnenfeld;Etan Cohen;PG-13;time travel,time machine,alien,fictional government agency,seeing the future;52.035179;They are back... in time.;https://image.tmdb.org/t/p/w300/90DdoEStzeObs96fsYf4GG544iN.jpg;https://image.tmdb.org/t/p/original/5AhpUb8CAP0jZ4Wrn7AsRUYjZxB.jpg;en;Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.;ACTION,COMEDY,SCIENCE_FICTION;Amblin Entertainment,Media Magik Entertainment,Imagenation Abu Dhabi FZ,Hemisphere Media Capital,Parkes/MacDonald Productions;5-23-2012;2h 24m;https://imdb-video.media-imdb.com/vi3916407065/1434659607842-pgv4ql-1616203133470.mp4?Expires=1704391979&Signature=PBbqZvm8LoUjxNJERde5EI8F-QobNTXOsz~jq6BadLXZwbyLQ3mbWCdFWJBjtDK6QiaS1M~PkP0jw-GnQ~kWF~-kKY2EjaizFd89FV3sqEPyxIcNMgbuNm9QiiJAlA9KLD1VHI~bXAAlpOCOtJWNG63MeF798icgxMv~yaBVZ5fwJEYXTgYe3LyPx1dxCJxzgaeOdoOgGuIBusnk75gVRkeGQ8rNTi9wJs4xiUrjfLfOMHs4-fSAXATMX85bdeGHzqy6~MP~672dRcAwN1GQFNTrxl-cSjgrx6ASSHgc8qDngq65jViswhDjqT1zGK91ZomqMTySIDUvl3Af8w4r8A__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA;https://image.tmdb.org/t/p/w500/a2iSCAj6s9v578A1sKqkOeV6824.png;1-12-2024;235
20;The Hobbit: The Battle of the Five Armies;Martin Freeman,Ian McKellen,Richard Armitage,Ken Stott,Graham McTavish;Peter Jackson;Fran Walsh,Philippa Boyens,Peter Jackson,Guillermo del Toro;PG-13;corruption,elves,dwarves,orcs,Middle-earth (Tolkien);120.965743;Witness the defining chapter of the Middle-Earth saga;https://image.tmdb.org/t/p/w300/xT98tLqatZPQApyRmlPL12LtiWp.jpg;https://image.tmdb.org/t/p/original/bVmSXNgH1gpHYTDyF9Q826YwJT5.jpg;en;Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.;ACTION,ADVENTURE,FANTASY;WingNut Films,New Line Cinema,Warner Bros. Pictures,3Foot7,Metro-Goldwyn-Mayer (MGM);12-10-2014;2h 16m;https://imdb-video.media-imdb.com/vi1092005657/1434659607842-pgv4ql-1616202704964.mp4?Expires=1704391330&Signature=hHIIOF7D54Cec7Abak-QX3hYTOl-bWkYR2s7URKQbzKFmluwcNakKUV3Fym9rJ3uHtsj1X9AkRivV6EsyE~BVV0yS6wW6-GiJKYc0G7rRAuwB7h-PWLyidY1SQYO5JdESTiFYESaRmq8-qRfr1YVT487h-AMi8gAw8PIKPE2r-Mv1CdiopzGOTqW1jdPM7CGAVIX-Ttlboctp~3RcuQvlRJi3ELbK7liXiyUw2wQXZBaE6Ap2TTMwotkeXa3K5qqeFcOu~yjl5facD0IxoKjyvdKB6o0~Q0s8IooDKvrOF3mVzoeHcQ8LUubKkb9XzduSvWr3MFsLBORJqVJXnZbYg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA;https://image.tmdb.org/t/p/w500/7TfYlTXlDrTuj9JtIe8az5L4BTN.png;11-16-2023;324
21;The Amazing Spider-Man;Andrew Garfield,Emma Stone,Rhys Ifans,Denis Leary,Campbell Scott;Marc Webb;James Vanderbilt,Alvin Sargent,Steve Kloves;PG-13;loss of father,vigilante,serum,Marvel Comic,scientific experiment;89.866276;The untold story begins.;https://image.tmdb.org/t/p/w300/jIfkQNARYyERqRAq1p1c8xgePp4.jpg;https://image.tmdb.org/t/p/original/sxskOU71CO8LaNX2LOtjYFUtKv7.jpg;en;Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.;ACTION,ADVENTURE,FANTASY;Columbia Pictures,Laura Ziskin Productions,Marvel Entertainment;6-27-2012;2h 20m;https://imdb-video.media-imdb.com/vi1733272345/MV5BMjIyOTM1NDM0Ml5BMTFeQW1wNF5BbWU3MDYwOTM2Nzc@.mp4?Expires=1704392212&Signature=RPrZvF3zTx8TmapqXG6axEwUgtaEbOPOR7~vO-W8xpEIjyFflDERvKn7v07nxbsjeHjsQCHLxfoXNWeF6LQ2x~MCjILBuNW9SXol6DjbsdiDD9XROB9reEQAUVhMDtY3j0ZjEldJz32NnzZpNjJEsJFsSpxEmOrqeIIEiEEFlVOwDeY-0jqkmSxFPmYQa2Et5PkLM~gBB5Brhk1koLunApXhK8B8ixBGakc1s5rrH9No8qXbWGwdwVQzlJgMvnuyBiyV~Vk4nzGcfpi2fxbK7xbmEaNuBTb~ypN67RyhMfSG44eC6Jh3rCiANdx0VVzmC-iRhszTfmTJChqoRxSbMA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA;https://image.tmdb.org/t/p/w500/rNFHVEPUQmLsPwmlbhvRV2u8uf8.png;1-7-2024;567
22;Robin Hood;Russell Crowe,Cate Blanchett,Max von Sydow,William Hurt,Mark Strong;Ridley Scott;Brian Helgeland;PG-13;Robin Hood,archer,knight,Sherwood Forest,bow and arrow;37.668301;Rise and rise again, until lambs become lions.;https://image.tmdb.org/t/p/w300/9NS5QGOfck24yL3bZqWeW06PgPC.jpg;https://image.tmdb.org/t/p/original/h7AKqgIh86HDgJIzENeR2ng1Knn.jpg;en;When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity then romances his widow, Marion, and draws the ire of the town's sheriff and King John's henchman, Godfrey.;ACTION,ADVENTURE;Imagine Entertainment,Universal Pictures,Scott Free Productions,Relativity Media;5-12-2010;1h 53m;https://imdb-video.media-imdb.com/vi73860121/1434659607842-pgv4ql-1616202894254.mp4?Expires=1704391864&Signature=BEZBK6ah4MTsLD5CFZzblyHTvLZIS6vQkzElsIBSpihnOq1pNM15do7cb1rrEqgKhsgalTXydrrLQY0Nw0c3IO-4a9lzZlVXs5YXFZRt3LYdtwuLtRTjm~o6qYNaSjl7nEmqUSMvA~0jmC~iePq~HvJ0Ch9-9~ePggc~6OYluj7XEyBT2U5fVrJYBwzWrTrrI5l~nqKqgMky5XmNQrdqBQMCoQZqBSaMQN5AgnTTWDBvYZ07vbx3wKisIBYy~FZm0SDkNi3Z2DTrNCXyuhOLRCBFfAPzrIdMNoBAQiHsY2uJzXNlSsmMtmDyilltG5KMEHm17gNyHEKoobwE6LwHQw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA;https://image.tmdb.org/t/p/w500/tWIbxkfDAPNnRUBSv9ZT8yJw754.png;8-24-2023;234
23;The Hobbit: The Desolation of Smaug;Martin Freeman,Ian McKellen,Richard Armitage,Ken Stott,Graham McTavish;Peter Jackson;Fran Walsh,Philippa Boyens,Peter Jackson,Guillermo del Toro;PG-13;elves,dwarves,orcs,hobbit,dragon;94.370564;Beyond darkness... beyond desolation... lies the greatest danger of all.;https://image.tmdb.org/t/p/w300/xQYiXsheRCDBA39DOrmaw1aSpbk.jpg;https://image.tmdb.org/t/p/original/npCPnwDyWfQltGfIZKN6WqeUXGI.jpg;en;The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.;ADVENTURE,FANTASY;WingNut Films,New Line Cinema,Warner Bros. Pictures,Metro-Goldwyn-Mayer (MGM);12-11-2013;3h 7m;https://imdb-video.media-imdb.com/vi2165155865/1434659607842-pgv4ql-1616202881036.mp4?Expires=1704392654&Signature=ItSNncEtUryQ0-GXmCEG7qpiL-YQLKBfdaaGAV1uO4K3pkc3Bab2ghObjxW2cODj8iPJhtiyaWIRNHRv8O80tb1BDPdpe7qzB4Mf7yp1RHWFvP22h920BRd8Km4RM;https://image.tmdb.org/t/p/w500/7UoXlY5JNFr0NepyDeuEAsWwKMz.png;11-24-2023;324
24;The Golden Compass;Dakota Blue Richards,Nicole Kidman,Daniel Craig,Sam Elliott,Eva Green;Chris Weitz;Chris Weitz;PG-13;England,compass,experiment,lordship,uncle;42.990906;There are worlds beyond our own - the compass will show the way.;https://image.tmdb.org/t/p/w300/lyaS7S4emzEaYUcSnCvyqfJpOcA.jpg;https://image.tmdb.org/t/p/original/qifYc5jT4CZxmLH9DfOlipioSPp.jpg;en;After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.;ADVENTURE,FANTASY;New Line Cinema,Ingenious Film Partners,Depth of Field,Scholastic Productions;12-4-2007;3h 14m;https://imdb-video.media-imdb.com/vi2813395225/1434659607842-pgv4ql-1616202773821.mp4?Expires=1704392785&Signature=A6KccX0WIsFAXZt4Q22LSpTUOrWT6Pupi32L2~uPyU6mztURiW~I3W5j-WhqXRn004xi32VKxuhmmTrcxYLWldt9Nj15hRDaGQ34DuYDMwFZymXh-3ov-DX0Xlb-7VdJpcoptfNFVwsVffithBor8bSRy8XyK2jsQ7b5NuREPtMz9~XRmTFaRfEUNDyvJMWdwWUQ1EYyIfqB37LNlQbfaSkNVt44tm5TqjFsvEKvAFVqIcCqy8kxSk9s3BeI-nRHnNKh4-5-E5FGvFh7TQWxm6sUNPBvIt6p4LrIyQAGeo6nsakqY48WiUNNZMlQTki-BySiisGyVGoNR~TC4qo02g__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA;https://image.tmdb.org/t/p/w500/6tLTKzpV6MJwiCK47d4CHOxOW8w.png;10-3-2023;123
25;King Kong;Naomi Watts,Jack Black,Adrien Brody,Thomas Kretschmann,Colin Hanks;Peter Jackson;Fran Walsh,Philippa Boyens,Peter Jackson;PG-13;film business,screenplay,show business,film making,film producer;61.22601;The eighth wonder of the world.;https://image.tmdb.org/t/p/w300/6a2HY6UmD7XiDD3NokgaBAXEsD2.jpg;https://image.tmdb.org/t/p/original/14xx5Tf58mD8FRJ1B3BspiLiRxz.jpg;en;In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.;ADVENTURE,DRAMA,ACTION;WingNut Films,Universal Pictures,Big Primate Pictures,MFPV Film;12-14-2005;2h 27m;https://imdb-video.media-imdb.com/vi4100440345/1434659607842-pgv4ql-1611780223068.mp4?Expires=1704392960&Signature=t9Oc6vqMAXElXYiWAs6-XZ-VOaKe3gNU0xRAReruHTT2hJoxVCszkXXAZRizk~xQsev-TN~Rp72CX3Zae5-8AkyAV34-KIuqXVqUKLs6OajEm22xnlKMYDZBoPMNluCEeZO70gr-eRErXgKZkncW78nSwhBsjvB2aMVIkn6xZ6nvloN7fyHZyshYewy8-dccS6~UyjDmQODLWHQBmyjvP2X8JqkgYDF-4Y~pYe~rKjSytedgXM-NYeKZzFivrqzH~uRQW6CKNgL8CCScB9O4P9kjBJNHXO6oABnG11W31wCKOLRSsiGceUBQTxqY5q2OAFzTgyK8ff4KPvmvWpqMtA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA;https://image.tmdb.org/t/p/w500/uMKtUKhoZwXi9GcCgIvesOoGrej.png;12-6-2023;455
26;Titanic;Kate Winslet,Leonardo DiCaprio,Frances Fisher,Billy Zane,Kathy Bates;James Cameron;James Cameron;PG-13;shipwreck,iceberg,ship,panic,Titanic;100.025899;Nothing on Earth could come between them.;https://image.tmdb.org/t/p/w300/9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg;https://image.tmdb.org/t/p/original/xnHVX37XZEp33hhCbYlQFq7ux1J.jpg;en;84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.;DRAMA,ROMANCE,THRILLER;Paramount Pictures,Twentieth Century Fox Film Corporation,Lightstorm Entertainment;11-18-1997;2h 11m;video;https://image.tmdb.org/t/p/w500/rLzHguwcdni9Jam8rMtMlg5XG2D.png;11-28-2023;342
